timestamp,container,cpu_perc,mem_usage,net_io,block_io
1784301803.293865,flink_w1-flink-identity-1,1.35%,394.3MiB / 31.28GiB,3.84MB / 14.9MB,50.1MB / 27MB
1784301803.293865,stream-state-bench-flink-kafka,282.67%,760MiB / 31.28GiB,18.6MB / 20.7MB,20.5kB / 52.7MB
1784301820.3355618,flink_w1-flink-identity-1,1.11%,394.3MiB / 31.28GiB,3.91MB / 15.1MB,50.1MB / 27MB
1784301820.3355618,stream-state-bench-flink-kafka,2.19%,675.9MiB / 31.28GiB,18.9MB / 21.1MB,20.5kB / 53.7MB
1784301837.363536,flink_w1-flink-identity-1,1.18%,394.4MiB / 31.28GiB,3.99MB / 15.4MB,50.1MB / 27.1MB
1784301837.363536,stream-state-bench-flink-kafka,53.20%,717.4MiB / 31.28GiB,19.3MB / 21.5MB,20.5kB / 54.5MB
1784301854.3918486,flink_w1-flink-identity-1,2.97%,394.4MiB / 31.28GiB,4.07MB / 15.7MB,50.1MB / 27.2MB
1784301854.3918486,stream-state-bench-flink-kafka,1.56%,691.7MiB / 31.28GiB,19.6MB / 21.9MB,20.5kB / 55.4MB
1784301871.4240952,flink_w1-flink-identity-1,1.14%,394.4MiB / 31.28GiB,4.14MB / 16MB,50.1MB / 27.3MB
1784301871.4240952,stream-state-bench-flink-kafka,174.09%,814.4MiB / 31.28GiB,20MB / 22.4MB,20.5kB / 56.2MB
1784301887.5396569,flink_w1-flink-identity-1,1.15%,394.4MiB / 31.28GiB,4.22MB / 16.3MB,50.1MB / 27.4MB
1784301887.5396569,stream-state-bench-flink-kafka,2.17%,708.9MiB / 31.28GiB,20.4MB / 22.8MB,20.5kB / 56.9MB
1784301903.615641,flink_w1-flink-identity-1,1.15%,394.5MiB / 31.28GiB,4.29MB / 16.6MB,50.1MB / 27.5MB
1784301903.615641,stream-state-bench-flink-kafka,1.73%,716.8MiB / 31.28GiB,20.7MB / 23.1MB,20.5kB / 57.8MB
1784301920.644625,flink_w1-flink-identity-1,1.21%,394.5MiB / 31.28GiB,4.36MB / 16.9MB,50.1MB / 27.6MB
1784301920.644625,stream-state-bench-flink-kafka,1.66%,725MiB / 31.28GiB,21.1MB / 23.6MB,20.5kB / 58.5MB
1784301936.744152,flink_w1-flink-identity-1,1.14%,394.5MiB / 31.28GiB,4.44MB / 17.2MB,50.1MB / 27.6MB
1784301936.744152,stream-state-bench-flink-kafka,1.59%,757MiB / 31.28GiB,21.4MB / 23.9MB,20.5kB / 58.9MB
1784301952.8673427,flink_w1-flink-identity-1,1.22%,394.5MiB / 31.28GiB,4.51MB / 17.4MB,50.1MB / 27.7MB
1784301952.8673427,stream-state-bench-flink-kafka,86.52%,759.1MiB / 31.28GiB,21.8MB / 24.4MB,20.5kB / 59.8MB
1784301969.8968885,flink_w1-flink-identity-1,1.37%,394.5MiB / 31.28GiB,4.59MB / 17.7MB,50.1MB / 27.8MB
1784301969.8968885,stream-state-bench-flink-kafka,1.60%,757.2MiB / 31.28GiB,22.2MB / 24.8MB,20.5kB / 60.7MB
1784301986.921023,flink_w1-flink-identity-1,1.16%,394.5MiB / 31.28GiB,4.67MB / 18MB,50.1MB / 27.9MB
1784301986.921023,stream-state-bench-flink-kafka,269.38%,871.1MiB / 31.28GiB,22.5MB / 25.2MB,20.5kB / 61.5MB
1784302002.9472697,flink_w1-flink-identity-1,3.23%,394.5MiB / 31.28GiB,4.75MB / 18.3MB,50.1MB / 27.9MB
1784302002.9472697,stream-state-bench-flink-kafka,2.95%,758.4MiB / 31.28GiB,22.9MB / 25.6MB,20.5kB / 62.4MB
1784302019.2778778,flink_w1-flink-identity-1,1.54%,394.5MiB / 31.28GiB,4.82MB / 18.6MB,50.1MB / 28.1MB
1784302019.2778778,stream-state-bench-flink-kafka,224.24%,838.2MiB / 31.28GiB,23.3MB / 26MB,20.5kB / 63.4MB
1784302035.3454025,flink_w1-flink-identity-1,1.23%,394.5MiB / 31.28GiB,4.9MB / 18.9MB,50.1MB / 28.2MB
1784302035.3454025,stream-state-bench-flink-kafka,1.73%,757.9MiB / 31.28GiB,23.6MB / 26.4MB,20.5kB / 64.4MB
