engine,workload_id,workload,run_label,rate_per_sec,produced_records,expected_output_records,matched_records,consumed_records,passed,p50_ms,p95_ms,p99_ms,max_ms,p99_write_to_input_append_latency_ms,p99_input_append_to_result_emission_latency_ms,p99_l_visibility_ms,p99_l_closure_ms,result_dir
kafka_streams,,sliding_sum,failure_kraft_failover_trial3,20.0,2001,1286,1286,1286,True,5506.646,18314.741,22865.736,36144.224,1002.799,22496.0,116.393,1784538004444.0,experiments/results/kafka_streams_sliding_sum_latency_failure_kraft_failover_trial3
kafka_streams,,sliding_sum,failure_kraft_failover_trial4,20.0,2001,1286,1286,1286,True,5960.54,18765.523,23317.369,35397.347,1002.29,22488.0,110.576,1784521994271.0,experiments/results/kafka_streams_sliding_sum_latency_failure_kraft_failover_trial4
kafka_streams,,sliding_sum,failure_kraft_failover_trial5,20.0,2001,1286,1286,1286,True,5919.795,18725.056,23275.91,35271.033,1002.798,22910.0,94.466,1784531930858.0,experiments/results/kafka_streams_sliding_sum_latency_failure_kraft_failover_trial5
kafka_streams,,sliding_sum,failure_node_loss_trial1,20.0,2001,1286,1286,1286,False,6252.616,42423.342,50073.042,67027.186,1001.816,49043.0,184.073,1784609916603.0,experiments/results/kafka_streams_sliding_sum_latency_failure_node_loss_trial1
kafka_streams,,sliding_sum,failure_node_loss_trial2,20.0,2001,1286,1286,1286,False,6065.196,42687.238,50336.774,67287.784,1001.489,49529.0,157.177,1784604945961.0,experiments/results/kafka_streams_sliding_sum_latency_failure_node_loss_trial2
kafka_streams,,sliding_sum,failure_node_loss_trial3,20.0,2001,1286,1286,1286,True,5745.258,42905.044,50555.039,67505.075,1001.606,49483.0,124.422,1784613279319.0,experiments/results/kafka_streams_sliding_sum_latency_failure_node_loss_trial3
kafka_streams,,sliding_sum,failure_node_loss_trial4,20.0,2001,1286,1286,1286,False,6251.548,42216.342,49865.948,66818.046,1001.553,48944.0,176.218,1784608249815.0,experiments/results/kafka_streams_sliding_sum_latency_failure_node_loss_trial4
kafka_streams,,sliding_sum,failure_node_loss_trial5,20.0,2001,1286,1286,1286,False,5731.49,42869.987,50519.873,67470.324,1002.912,49575.0,96.945,1784611583993.0,experiments/results/kafka_streams_sliding_sum_latency_failure_node_loss_trial5
kafka_streams,,sliding_sum,failure_s3_throttling,20.0,2001,1286,1286,1286,True,4945.06,18107.676,22658.528,29005.053,1001.518,22035.0,84.052,1784416714309.0,experiments/results/kafka_streams_sliding_sum_latency_failure_s3_throttling
kafka_streams,,sliding_sum,failure_s3_throttling_trial1,20.0,2001,1286,1286,1286,True,5434.037,18633.062,23379.381,28700.418,1002.281,22706.0,79.667,1784577422462.0,experiments/results/kafka_streams_sliding_sum_latency_failure_s3_throttling_trial1
kafka_streams,,sliding_sum,failure_s3_throttling_trial2,20.0,2001,1286,1286,1286,True,5141.055,18341.812,23083.788,29005.467,1002.856,22660.0,133.464,1784580065177.0,experiments/results/kafka_streams_sliding_sum_latency_failure_s3_throttling_trial2
kafka_streams,,sliding_sum,failure_s3_throttling_trial3,20.0,2001,1286,1286,1286,True,5412.4,18612.782,23358.239,29380.803,1001.215,23044.0,112.45,1784558067956.0,experiments/results/kafka_streams_sliding_sum_latency_failure_s3_throttling_trial3
kafka_streams,,sliding_sum,failure_s3_throttling_trial4,20.0,2001,1286,1286,1286,True,4686.1,17841.885,22583.946,28592.023,1001.395,22259.0,76.428,1784540301042.0,experiments/results/kafka_streams_sliding_sum_latency_failure_s3_throttling_trial4
kafka_streams,,sliding_sum,failure_s3_throttling_trial5,20.0,2001,1286,1286,1286,True,4978.402,18328.399,22879.97,29513.563,1001.77,22356.0,78.631,1784524254997.0,experiments/results/kafka_streams_sliding_sum_latency_failure_s3_throttling_trial5
kafka_streams,,tumbling_count,failure_broker_kill,20.0,2001,386,386,386,True,5267.266,14243.809,23750.781,28567.561,1002.171,22693.0,79.325,1784421039895.0,experiments/results/kafka_streams_tumbling_count_latency_failure_broker_kill
kafka_streams,,tumbling_count,failure_broker_kill_trial1,20.0,2001,386,386,386,True,5079.805,14089.046,23472.81,28721.283,1002.825,22584.0,76.216,1784538963039.0,experiments/results/kafka_streams_tumbling_count_latency_failure_broker_kill_trial1
kafka_streams,,tumbling_count,failure_broker_kill_trial2,20.0,2001,386,386,386,True,5337.986,14680.936,24074.641,29294.618,1002.201,23089.0,54.815,1784545450540.0,experiments/results/kafka_streams_tumbling_count_latency_failure_broker_kill_trial2
kafka_streams,,tumbling_count,failure_broker_kill_trial3,20.0,2001,386,386,386,True,6681.784,17526.688,26726.598,35926.616,1002.754,26302.0,127.018,1784581066574.0,experiments/results/kafka_streams_tumbling_count_latency_failure_broker_kill_trial3
kafka_streams,,tumbling_count,failure_broker_kill_trial4,20.0,2001,386,386,386,True,6714.564,23214.842,33014.432,42214.452,1003.16,32648.0,66.907,1784549203502.0,experiments/results/kafka_streams_tumbling_count_latency_failure_broker_kill_trial4
kafka_streams,,tumbling_count,failure_broker_kill_trial5,20.0,2001,386,386,386,True,7272.145,23112.905,32562.328,41762.417,1001.861,32055.0,111.439,1784526768484.0,experiments/results/kafka_streams_tumbling_count_latency_failure_broker_kill_trial5
kafka_streams,,tumbling_count,failure_changelog_restore,20.0,2001,386,386,386,True,5611.779,15135.957,24735.51,29132.166,1002.555,24050.0,87.552,1784416601807.0,experiments/results/kafka_streams_tumbling_count_latency_failure_changelog_restore
kafka_streams,,tumbling_count,failure_changelog_restore_trial1,20.0,2001,386,386,386,True,5588.024,15088.624,24688.252,29149.397,1002.854,23939.0,108.371,1784568201784.0,experiments/results/kafka_streams_tumbling_count_latency_failure_changelog_restore_trial1
kafka_streams,,tumbling_count,failure_changelog_restore_trial2,20.0,2001,386,386,386,True,5236.341,14436.327,24036.3,28594.084,1001.906,23284.0,95.351,1784524459895.0,experiments/results/kafka_streams_tumbling_count_latency_failure_changelog_restore_trial2
kafka_streams,,tumbling_count,failure_changelog_restore_trial3,20.0,2001,386,386,386,True,5330.405,14482.662,24082.198,28630.617,1002.805,23386.0,84.064,1784587955085.0,experiments/results/kafka_streams_tumbling_count_latency_failure_changelog_restore_trial3
kafka_streams,,tumbling_count,failure_changelog_restore_trial4,20.0,2001,386,386,386,True,5358.113,14888.055,24488.017,28847.082,1002.316,24085.0,107.519,1784559033672.0,experiments/results/kafka_streams_tumbling_count_latency_failure_changelog_restore_trial4
kafka_streams,,tumbling_count,failure_changelog_restore_trial5,20.0,2001,386,386,386,True,5475.743,14686.844,24286.806,28725.762,1001.998,23589.0,82.232,1784568936614.0,experiments/results/kafka_streams_tumbling_count_latency_failure_changelog_restore_trial5
kafka_streams,,tumbling_count,failure_jvm_kill,20.0,5001,3777,3777,3777,True,16078.76,40848.867,52450.696,55800.668,1002.952,52082.0,112.151,1784515251074.0,experiments/results/kafka_streams_tumbling_count_latency_failure_jvm_kill
kafka_streams,,tumbling_count,failure_jvm_kill_trial1,20.0,2001,386,386,386,False,11757.903,48106.514,58406.968,67606.978,1002.238,58060.0,102.239,1784614971763.0,experiments/results/kafka_streams_tumbling_count_latency_failure_jvm_kill_trial1
kafka_streams,,tumbling_count,failure_jvm_kill_trial2,20.0,2001,386,386,386,False,11616.696,47918.373,58219.04,67419.144,1002.542,58006.0,116.454,1784609396159.0,experiments/results/kafka_streams_tumbling_count_latency_failure_jvm_kill_trial2
kafka_streams,,tumbling_count,failure_jvm_kill_trial3,20.0,2001,386,386,386,False,11408.753,47753.052,58053.875,67253.967,1002.232,57695.0,112.472,1784611637513.0,experiments/results/kafka_streams_tumbling_count_latency_failure_jvm_kill_trial3
kafka_streams,,tumbling_count,failure_jvm_kill_trial4,20.0,2001,386,386,386,False,11221.192,47268.748,57569.317,66769.362,1001.484,57358.0,116.193,1784608303421.0,experiments/results/kafka_streams_tumbling_count_latency_failure_jvm_kill_trial4
kafka_streams,,tumbling_count,failure_jvm_kill_trial5,20.0,2001,386,386,386,False,11033.232,47077.2,57381.632,66581.708,1001.878,57059.0,123.073,1784612757486.0,experiments/results/kafka_streams_tumbling_count_latency_failure_jvm_kill_trial5
kafka_streams,,tumbling_count,failure_kraft_failover,20.0,2001,386,386,386,True,4778.02,13687.541,23287.114,28233.712,1002.335,22889.0,92.384,1784419168830.0,experiments/results/kafka_streams_tumbling_count_latency_failure_kraft_failover
kafka_streams,,tumbling_count,failure_kraft_failover_trial1,20.0,2001,386,386,386,True,7381.922,17281.192,26481.14,35681.138,1002.857,26155.0,76.731,1784574996918.0,experiments/results/kafka_streams_tumbling_count_latency_failure_kraft_failover_trial1
kafka_streams,,tumbling_count,failure_kraft_failover_trial2,20.0,2001,386,386,386,True,7723.55,17223.662,26823.552,31808.236,1002.738,26270.0,156.598,1784587219195.0,experiments/results/kafka_streams_tumbling_count_latency_failure_kraft_failover_trial2
kafka_streams,,tumbling_count,failure_kraft_failover_trial3,20.0,2001,386,386,386,True,6686.483,17293.446,26493.436,35693.422,1002.673,26152.0,96.265,1784554536937.0,experiments/results/kafka_streams_tumbling_count_latency_failure_kraft_failover_trial3
kafka_streams,,tumbling_count,failure_kraft_failover_trial4,20.0,2001,386,386,386,True,6232.437,15766.893,25366.863,29480.864,1002.772,24619.0,73.366,1784584118947.0,experiments/results/kafka_streams_tumbling_count_latency_failure_kraft_failover_trial4
kafka_streams,,tumbling_count,failure_kraft_failover_trial5,20.0,2001,386,386,386,True,6971.317,16759.884,25959.789,35159.789,1002.61,25652.0,111.193,1784574630561.0,experiments/results/kafka_streams_tumbling_count_latency_failure_kraft_failover_trial5
kafka_streams,,tumbling_count,failure_node_loss,20.0,5001,886,886,886,True,6130.406,29223.081,38323.065,42975.143,1001.25,37382.0,126.756,1784515916895.0,experiments/results/kafka_streams_tumbling_count_latency_failure_node_loss
kafka_streams,,tumbling_count,failure_node_loss_trial1,20.0,2001,386,386,386,True,10936.48,47034.3,57334.9,66534.94,1002.817,56855.0,135.211,1784527186872.0,experiments/results/kafka_streams_tumbling_count_latency_failure_node_loss_trial1
kafka_streams,,tumbling_count,failure_node_loss_trial2,20.0,2001,386,386,386,False,11095.024,47137.638,57442.592,66642.575,1001.47,57160.0,134.911,1784611090627.0,experiments/results/kafka_streams_tumbling_count_latency_failure_node_loss_trial2
kafka_streams,,tumbling_count,failure_node_loss_trial3,20.0,2001,386,386,386,False,11632.548,47981.292,58282.247,67482.252,1002.508,58009.0,128.749,1784606638673.0,experiments/results/kafka_streams_tumbling_count_latency_failure_node_loss_trial3
kafka_streams,,tumbling_count,failure_node_loss_trial4,20.0,2001,386,386,386,False,11030.709,47078.969,57379.564,66579.73,1002.086,57059.0,123.607,1784613331802.0,experiments/results/kafka_streams_tumbling_count_latency_failure_node_loss_trial4
kafka_streams,,tumbling_count,failure_node_loss_trial5,20.0,2001,386,386,386,False,11819.71,48167.884,58468.074,67668.116,1001.561,58157.0,116.31,1784615518771.0,experiments/results/kafka_streams_tumbling_count_latency_failure_node_loss_trial5
kafka_streams,,tumbling_count,failure_s3_throttling,20.0,2001,386,386,386,True,5465.864,14565.872,23510.924,29815.145,1002.127,23235.0,82.025,1784407016154.0,experiments/results/kafka_streams_tumbling_count_latency_failure_s3_throttling
kafka_streams,,tumbling_count,failure_s3_throttling_trial1,20.0,2001,386,386,386,True,5452.385,14500.054,23928.887,28892.628,1002.656,23451.0,88.213,1784583702715.0,experiments/results/kafka_streams_tumbling_count_latency_failure_s3_throttling_trial1
kafka_streams,,tumbling_count,failure_s3_throttling_trial2,20.0,2001,386,386,386,True,5698.477,14761.422,24048.478,29441.283,1002.863,23092.0,94.108,1784529416541.0,experiments/results/kafka_streams_tumbling_count_latency_failure_s3_throttling_trial2
kafka_streams,,tumbling_count,failure_s3_throttling_trial3,20.0,2001,386,386,386,True,5539.292,14538.807,24036.32,29182.015,1002.168,23091.0,85.934,1784550768754.0,experiments/results/kafka_streams_tumbling_count_latency_failure_s3_throttling_trial3
