engine,workload,failure_mode,trials,passed_trials,median_p99_total_ms,median_p99_t1_t0_ms,median_p99_t2_t1_ms,median_p99_t3_t2_ms
flink,sliding_sum,s3_throttling,5,5,21954.0,1001.831,20944.0,945.454
kafka_streams,sliding_sum,broker,1,1,22871.165,1001.388,22239.0,86.848
kafka_streams,sliding_sum,broker_kill,5,5,23511.294,1001.67,23128.0,97.063
kafka_streams,sliding_sum,changelog,1,1,24091.369,1002.649,22672.0,1075.872
kafka_streams,sliding_sum,changelog_restore,5,5,23977.4,1001.721,23049.0,1068.851
kafka_streams,sliding_sum,jvm,1,0,169385.472,1001.563,168685.0,289.276
kafka_streams,sliding_sum,jvm_kill,5,0,50211.474,1001.781,49328.0,119.938
kafka_streams,sliding_sum,kraft,1,1,23204.108,1001.768,22598.0,129.725
kafka_streams,sliding_sum,kraft_failover,5,5,23275.91,1002.405,22488.0,116.393
kafka_streams,sliding_sum,node,1,0,169491.457,1002.271,168968.0,271.381
kafka_streams,sliding_sum,node_loss,5,0,50323.519,1002.506,49444.0,160.074
kafka_streams,sliding_sum,s3,1,1,22658.528,1001.518,22035.0,84.052
kafka_streams,sliding_sum,s3_throttling,5,5,23083.788,1001.77,22660.0,79.667
flink,tumbling_count,broker,1,1,23071.189,1003.023,22154.0,771.931
flink,tumbling_count,broker_kill,5,5,22786.102,1002.223,21171.0,850.402
flink,tumbling_count,changelog,1,1,22873.588,1002.208,22215.0,841.796
flink,tumbling_count,changelog_restore,5,5,22890.956,1002.437,22080.0,951.301
flink,tumbling_count,jvm,1,1,21720.375,1002.615,20079.0,1087.752
flink,tumbling_count,jvm_kill,5,5,22860.488,1002.614,21862.0,969.796
flink,tumbling_count,kraft,1,1,22938.01,1001.931,22103.0,986.894
flink,tumbling_count,kraft_failover,5,5,22868.505,1002.629,21214.0,785.378
flink,tumbling_count,node,1,1,31145.943,1002.682,29602.0,1048.891
flink,tumbling_count,node_loss,5,5,22824.371,1002.722,21206.0,1005.318
flink,tumbling_count,s3,1,1,26906.227,1001.687,25912.0,899.637
flink,tumbling_count,s3_throttling,5,5,22721.997,1002.953,21127.0,1030.989
kafka_streams,tumbling_count,broker,1,1,23750.781,1002.171,22693.0,79.325
kafka_streams,tumbling_count,broker_kill,5,5,26726.598,1002.754,26302.0,76.216
kafka_streams,tumbling_count,changelog,1,1,24735.51,1002.555,24050.0,87.552
kafka_streams,tumbling_count,changelog_restore,5,5,24286.806,1002.316,23589.0,95.351
kafka_streams,tumbling_count,jvm,1,1,52450.696,1002.952,52082.0,112.151
kafka_streams,tumbling_count,jvm_kill,5,0,58227.048,1002.546,57961.0,120.561
kafka_streams,tumbling_count,kraft,1,1,23287.114,1002.335,22889.0,92.384
kafka_streams,tumbling_count,kraft_failover,5,5,26481.14,1002.738,26152.0,96.265
kafka_streams,tumbling_count,node,1,1,38323.065,1001.25,37382.0,126.756
kafka_streams,tumbling_count,node_loss,5,1,58133.083,1002.031,57856.0,135.211
kafka_streams,tumbling_count,s3,1,1,23510.924,1002.127,23235.0,82.025
kafka_streams,tumbling_count,s3_throttling,5,5,24048.478,1002.283,23092.0,85.934
