event_id,send_time_ns,receive_time_ns,latency_ms
ss-10-360000,849434605855507,849436314855182,1709.0
ss-11-360000,849433855857397,849436314855622,2458.998
ss-12-360000,849433055882526,849436314855992,3258.973
ss-13-360000,849432980883087,849436314867082,3333.984
ss-14-360000,849434180889520,849436314882322,2133.993
ss-15-360000,849433505867989,849436314882742,2809.015
ss-16-360000,849434255858549,849436314898562,2059.04
ss-17-360000,849434430892953,849436314899022,1884.006
ss-19-360000,849434630870964,849436314920962,1684.05
ss-2-360000,849434105853401,849436314921402,2209.068
ss-21-360000,849434355880144,849436314942413,1959.062
ss-23-360000,849433305909039,849436314942903,3009.034
ss-24-360000,849433030892519,849436314970253,3284.078
ss-28-360000,849432780927817,849436314971133,3534.043
ss-29-360000,849434580861661,849436315014153,1734.152
ss-31-360000,849434280853895,849436315014653,2034.161
ss-33-360000,849434730841839,849436315015073,1584.173
ss-34-360000,849433880856324,849436315015433,2434.159
ss-35-360000,849434405892477,849436315019563,1909.127
ss-38-360000,849433380870858,849436315019903,2934.149
ss-39-360000,849433980855269,849436315020253,2334.165
ss-4-360000,849432505870717,849436315057773,3809.187
ss-40-360000,849433730876676,849436315058603,2584.182
ss-41-360000,849432306620669,849436315063553,4008.443
ss-43-360000,849433430872910,849436315063943,2884.191
ss-45-360000,849434530870808,849436315076683,1784.206
ss-46-360000,849432430867298,849436315080693,3884.213
ss-48-360000,849434555858905,849436315130043,1759.271
ss-5-360000,849433630877721,849436315130563,2684.253
ss-50-360000,849434305864732,849436315134013,2009.269
ss-51-360000,849434380898710,849436315143673,1934.245
ss-53-360000,849434780880382,849436315180443,1534.3
ss-54-360000,849432605900892,849436315180853,3709.28
ss-55-360000,849434455864069,849436315181133,1859.317
ss-57-360000,849434030874812,849436315184033,2284.309
ss-58-360000,849433830859591,849436315224613,2484.365
ss-59-360000,849434130850597,849436315225113,2184.375
ss-6-360000,849432755895480,849436315225513,3559.33
ss-62-360000,849433605886144,849436315229993,2709.344
ss-63-360000,849434330865328,849436315230373,1984.365
ss-64-360000,849432480874371,849436315230753,3834.356
ss-68-360000,849433181049578,849436315237043,3134.187
ss-69-360000,849432880883332,849436315250433,3434.367
ss-7-360000,849434205860176,849436315250743,2109.391
ss-70-360000,849434480871946,849436315275613,1834.404
ss-71-360000,849432930883404,849436315276463,3384.393
ss-72-360000,849433105897378,849436315282083,3209.385
ss-73-360000,849434005879756,849436315300633,2309.421
ss-74-360000,849433805878605,849436315330654,2509.452
ss-75-360000,849434705867073,849436315331414,1609.464
ss-76-360000,849433780888678,849436315335984,2534.447
ss-77-360000,849433480876533,849436315340614,2834.464
ss-79-360000,849433130887605,849436315357894,3184.47
ss-8-360000,849433930852526,849436315385104,2384.533
ss-80-360000,849432680884161,849436315385544,3634.501
ss-83-360000,849432355893709,849436315385934,3959.492
ss-84-360000,849434655870010,849436315426764,1659.557
ss-85-360000,849434080869205,849436315427654,2234.558
ss-87-360000,849432955875021,849436315433234,3359.558
ss-88-360000,849433755893262,849436315433784,2559.541
ss-89-360000,849433905864390,849436315446264,2409.582
ss-9-360000,849432380889506,849436315446534,3934.557
ss-90-360000,849434505896792,849436315446784,1809.55
ss-91-360000,849434055854038,849436315467224,2259.613
ss-93-360000,849433955868013,849436315467484,2359.599
ss-96-360000,849433555859952,849436315467714,2759.608
ss-97-360000,849433680888783,849436315484464,2634.596
ss-98-360000,849434230858943,849436315484744,2084.626
ss-99-360000,849433330889295,849436315525704,2984.636
ss-0-420000,849434755880075,849436315526204,1559.646
ss-1-420000,849434680868896,849436315545564,1634.677
ss-10-420000,849434605855507,849436315546244,1709.691
ss-11-420000,849433855857397,849436315555454,2459.698
ss-12-420000,849433055882526,849436315555934,3259.673
ss-13-420000,849432980883087,849436315570964,3334.688
ss-14-420000,849434180889520,849436315571404,2134.682
ss-15-420000,849433505867989,849436315582354,2809.714
ss-16-420000,849434255858549,849436315582754,2059.724
ss-17-420000,849434430892953,849436315599384,1884.706
ss-19-420000,849434630870964,849436315599684,1684.729
ss-2-420000,849434105853401,849436315660594,2209.807
ss-21-420000,849434355880144,849436315661144,1959.781
ss-23-420000,849433305909039,849436315661414,3009.752
ss-24-420000,849433030892519,849436315680794,3284.788
ss-28-420000,849432780927817,849436315681064,3534.753
ss-29-420000,849434580861661,849436315681294,1734.82
ss-31-420000,849434280853895,849436315683914,2034.83
ss-33-420000,849434730841839,849436315700395,1584.859
ss-34-420000,849433880856324,849436315703995,2434.848
ss-35-420000,849434405892477,849436315718125,1909.826
ss-38-420000,849433380870858,849436315718385,2934.848
ss-39-420000,849433980855269,849436315720855,2334.866
ss-4-420000,849432505870717,849436315729835,3809.859
ss-40-420000,849433730876676,849436315732965,2584.856
ss-41-420000,849432306620669,849436315758345,4009.138
ss-43-420000,849433430872910,849436315758835,2884.886
ss-45-420000,849434530870808,849436315770915,1784.9
ss-46-420000,849432430867298,849436315774545,3884.907
ss-48-420000,849434555858905,849436315792025,1759.933
ss-5-420000,849433630877721,849436315792415,2684.915
ss-50-420000,849434305864732,849436315793265,2009.929
ss-51-420000,849434380898710,849436315808575,1934.91
ss-53-420000,849434780880382,849436315808905,1534.929
ss-54-420000,849432605900892,849436315840655,3709.94
